# time [s]; Channel 0; Channel 1; Channel 2
8.769999999999999574e+00;5.118486285209655762e-01;4.649576544761657715e-01;3.147783577442169189e-01
8.773334999999999440e+00;5.050125718116760254e-01;4.564126133918762207e-01;3.128252029418945312e-01
8.776666999999999774e+00;5.059891939163208008e-01;4.569008946418762207e-01;3.135576546192169189e-01
8.780001999999999640e+00;5.135576128959655762e-01;4.759441614151000977e-01;3.181963860988616943e-01
8.783333999999999975e+00;5.023270249366760254e-01;5.067216157913208008e-01;3.242999911308288574e-01
8.786668000000000589e+00;5.028153061866760254e-01;5.272297263145446777e-01;3.333333432674407959e-01
8.790001000000000175e+00;5.050125718116760254e-01;5.404134988784790039e-01;3.404135107994079590e-01
8.793335000000000790e+00;5.091630220413208008e-01;5.096513032913208008e-01;3.360189199447631836e-01
8.796666999999999348e+00;5.113603472709655762e-01;4.661783874034881592e-01;3.279621601104736328e-01
8.800000999999999962e+00;5.015945434570312500e-01;4.564126133918762207e-01;3.218585550785064697e-01
8.803335000000000576e+00;4.981612861156463623e-01;4.666666686534881592e-01;3.228351175785064697e-01
8.806668000000000163e+00;4.964522719383239746e-01;4.986495673656463623e-01;3.323567509651184082e-01
8.810000999999999749e+00;4.988937079906463623e-01;5.162432193756103516e-01;3.345540463924407959e-01
8.813335000000000363e+00;5.047684311866760254e-01;5.279621481895446777e-01;3.406576514244079590e-01
8.816667000000000698e+00;5.042801499366760254e-01;5.157549381256103516e-01;3.369955122470855713e-01
8.820000999999999536e+00;4.944991171360015869e-01;5.433432459831237793e-01;3.443198204040527344e-01
8.823333999999999122e+00;4.896162450313568115e-01;5.245441198348999023e-01;3.426108062267303467e-01
8.826667999999999736e+00;4.903486669063568115e-01;4.761883020401000977e-01;3.343099057674407959e-01
8.830000999999999323e+00;4.854657948017120361e-01;4.500648379325866699e-01;3.242999911308288574e-01
8.833334000000000685e+00;4.959639906883239746e-01;4.407873749732971191e-01;3.167315125465393066e-01
8.836667999999999523e+00;5.055008530616760254e-01;4.451819658279418945e-01;3.140459358692169189e-01
8.840001000000000886e+00;4.913252592086791992e-01;4.703288376331329346e-01;3.172197937965393066e-01
8.843334999999999724e+00;4.842450618743896484e-01;4.832684695720672607e-01;3.221026957035064697e-01
8.846667999999999310e+00;4.913252592086791992e-01;4.693522453308105469e-01;3.186846673488616943e-01
8.850001000000000673e+00;4.954757094383239746e-01;4.109864830970764160e-01;3.018234670162200928e-01
8.853334000000000259e+00;4.927901029586791992e-01;3.308918774127960205e-01;2.744792997837066650e-01
8.856668000000000873e+00;5.023270249366760254e-01;3.054856061935424805e-01;2.547035813331604004e-01
8.860001000000000460e+00;4.991378784179687500e-01;2.979171574115753174e-01;2.393072396516799927e-01
8.863334000000000046e+00;4.730144143104553223e-01;2.778972983360290527e-01;2.246585786342620850e-01
8.866666999999999632e+00;4.805828928947448730e-01;2.971847057342529297e-01;2.195315510034561157e-01
8.870001999999999498e+00;4.832684695720672607e-01;3.538414537906646729e-01;2.310063391923904419e-01
8.873335000000000861e+00;4.652017951011657715e-01;3.389486670494079590e-01;2.300297617912292480e-01
8.876668000000000447e+00;4.520179927349090576e-01;3.189288079738616943e-01;2.244144380092620850e-01
8.880001000000000033e+00;4.437170922756195068e-01;3.128252029418945312e-01;2.183108329772949219e-01
8.883333999999999619e+00;4.371099472045898438e-01;3.301594555377960205e-01;2.214847058057785034e-01
8.886668000000000234e+00;4.478675425052642822e-01;3.687342703342437744e-01;2.332036346197128296e-01
8.890002000000000848e+00;4.691081047058105469e-01;4.085450470447540283e-01;2.483405768871307373e-01
8.893335000000000434e+00;4.776531755924224854e-01;4.442053735256195068e-01;2.654459476470947266e-01
8.896667000000000769e+00;4.600747823715209961e-01;4.278324544429779053e-01;2.705729901790618896e-01
8.900002000000000635e+00;4.444495439529418945e-01;4.283207356929779053e-01;2.757000029087066650e-01
8.903335000000000221e+00;4.534828662872314453e-01;4.571450352668762207e-01;2.866865098476409912e-01
8.906667000000000556e+00;4.742351472377777100e-01;4.993820190429687500e-01;3.064621984958648682e-01
8.910000000000000142e+00;4.969405531883239746e-01;5.164873600006103516e-01;3.157549500465393066e-01
8.913334000000000756e+00;5.045242905616760254e-01;5.116044878959655762e-01;3.216144144535064697e-01
8.916667999999999594e+00;4.842450618743896484e-01;4.915693998336791992e-01;3.240558505058288574e-01
8.920000999999999181e+00;4.329594969749450684e-01;4.625162184238433838e-01;3.174639642238616943e-01
8.923334999999999795e+00;3.929198086261749268e-01;4.278324544429779053e-01;3.062180578708648682e-01
8.926667999999999381e+00;3.701991438865661621e-01;4.114747941493988037e-01;2.964522838592529297e-01
8.930001000000000744e+00;3.711757063865661621e-01;4.273441731929779053e-01;2.969405651092529297e-01
8.933334999999999582e+00;3.658045232295989990e-01;4.962081313133239746e-01;3.138017952442169189e-01
8.936667999999999168e+00;3.496910035610198975e-01;5.404134988784790039e-01;3.282063007354736328e-01
8.940001000000000531e+00;3.621423542499542236e-01;5.157549381256103516e-01;3.272297382354736328e-01
8.943334999999999368e+00;3.665369749069213867e-01;4.796063303947448730e-01;3.240558505058288574e-01
8.946668000000000731e+00;3.272297382354736328e-01;4.944991171360015869e-01;3.284504413604736328e-01
8.950001000000000317e+00;2.998703122138977051e-01;4.859540760517120361e-01;3.274738788604736328e-01
8.953334999999999155e+00;2.957198321819305420e-01;5.181964039802551270e-01;3.343099057674407959e-01
8.956668000000000518e+00;2.962081432342529297e-01;5.328450202941894531e-01;3.387044966220855713e-01
8.960001999999999356e+00;2.898603677749633789e-01;4.979171454906463623e-01;3.362630605697631836e-01
8.963335000000000719e+00;3.221026957035064697e-01;4.598306119441986084e-01;3.286945819854736328e-01
8.966668999999999556e+00;3.799801766872406006e-01;4.754558503627777100e-01;3.294270336627960205e-01
8.970001999999999143e+00;4.400549232959747314e-01;5.201495289802551270e-01;3.382162153720855713e-01
8.973333999999999477e+00;4.529945850372314453e-01;5.714350938796997070e-01;3.523765802383422852e-01
8.976668000000000092e+00;4.510414302349090576e-01;5.785152912139892578e-01;3.604333698749542236e-01
8.980000999999999678e+00;4.278324544429779053e-01;5.572595000267028809e-01;3.611657917499542236e-01
8.983333999999999264e+00;3.733730018138885498e-01;5.699702501296997070e-01;3.660486638545989990e-01
